Country,Year,Production_Million_Tonnes,Percentage_of_World,Rank
Ukraine,2021,32.2,4.17,6
United Kingdom,2021,14.0,1.81,13
United States,2021,44.8,5.8,4
Uzbekistan,2021,6.0,0.78,24
World total,2021,772.8,100.0,
Afghanistan,2022,3.8,0.47,29
Algeria,2022,3.0,0.37,33
Argentina,2022,22.2,2.75,10
Australia,2022,36.2,4.48,5
Belarus,2022,2.4,0.3,37
Brazil,2022,10.3,1.27,16
Bulgaria,2022,6.4,0.79,23
Canada,2022,34.3,4.24,7
China,2022,137.7,17.03,1
Czech Republic,2022,5.2,0.64,25
Denmark,2022,4.2,0.52,28
Egypt,2022,9.7,1.2,18
Ethiopia,2022,7.0,0.87,20
France,2022,34.6,4.28,6
Germany,2022,22.6,2.8,9
Hungary,2022,4.4,0.54,27
India,2022,107.7,13.32,2
Iran,2022,10.0,1.24,17
Iraq,2022,2.8,0.35,34
Italy,2022,6.6,0.82,21
Kazakhstan,2022,16.4,2.03,13
Latvia,2022,2.5,0.31,36
Lithuania,2022,4.5,0.56,26
Mexico,2022,3.6,0.45,30
Morocco,2022,2.7,0.33,35
Nepal,2022,2.1,0.26,38
Pakistan,2022,26.2,3.24,8
Poland,2022,13.2,1.63,15
Romania,2022,8.7,1.08,19
Russia,2022,104.2,12.89,3
Serbia,2022,3.1,0.38,32
Slovakia,2022,2.0,0.25,40
South Africa,2022,2.1,0.26,38
Spain,2022,6.5,0.8,22
Sweden,2022,3.2,0.4,31
Turkey,2022,19.8,2.45,12
Ukraine,2022,20.7,2.56,11
United Kingdom,2022,15.5,1.92,14
United States,2022,44.9,5.55,4
Uzbekistan,2022,6.3,0.78,24
World total,2022,808.4,100.0,
